label,air_temp,process_temp,rotational_speed,torque,tool_wear,power,temp_diff,type_H,type_L,type_M
0,0.99890715,0.6042704,-0.46060774,0.71830505,-0.84399724,0.85238713,-1.100842,0,0,1
0,-1.5052003,-1.1532751,-0.7755742,0.63845617,0.38226312,0.4803632,1.2996587,0,0,1
0,0.49808568,1.0774629,-1.0076548,0.5586069,0.46086955,0.18404083,0.599513,0,0,1
0,-0.5536425,-0.13930896,-0.7092655,1.6265866,-0.37235865,1.8988608,0.89957476,0,1,0
0,-1.4551151,-1.0180714,1.0700189,-1.1282016,-0.9068824,-1.0016876,1.399679,0,1,0
0,-0.85413843,-0.74768454,0.9208242,-0.8187871,-1.5671765,-0.56090546,0.599513,1,0,0
0,0.34784535,0.67187226,-1.5270733,1.2273419,-0.057932902,0.591816,0.2994503,0,0,1
0,-1.2047043,-0.6800827,-0.69821405,0.019626869,-0.8911611,-0.31171092,1.399679,1,0,0
0,1.9504648,2.159031,0.37930292,0.05955111,-0.45096508,0.5166126,-0.70075804,0,0,1
0,-1.35496,-0.95046955,-0.59875095,0.1992869,0.02067353,0.010489598,1.2996587,1,0,0
0,-0.5536425,0.063496664,-0.40535045,0.24919248,1.2469339,0.22562219,1.1996374,0,1,0
0,-1.054464,-0.95046955,0.8379383,-1.0383716,0.13072254,-0.97078025,0.6995333,0,1,0
0,-0.4033869,0.46908727,0.00355341,-0.36963683,1.0582784,-0.39965835,1.4997002,0,1,0
0,-0.80405325,-1.0856733,-0.13458979,0.009645524,1.1211636,0.07391622,-0.0006123865,0,1,0
0,0.19758973,-0.13930896,-0.6540082,0.71830505,-1.6929468,0.69106215,-0.6007378,0,0,1
0,-0.6537976,-0.071707085,0.42903444,-0.6990136,1.4984745,-0.64779836,1.1996374,0,1,0
0,-1.1546191,-0.8828677,-1.6044334,2.0358126,0.5551973,1.5082728,0.999596,0,1,0
0,-0.5536425,-0.00410521,0.13617088,-0.61916476,1.1840488,-0.6964106,1.0996172,0,1,0
0,-0.95429355,-0.8828677,0.15827379,-0.70899457,-1.5357338,-0.8210176,0.599513,0,1,0
0,2.0506353,2.159031,-0.58217376,1.0077572,-1.0169314,1.1570882,-0.9007995,0,1,0
0,1.2493179,0.7394741,0.17485097,-0.57924014,1.467032,-0.61193967,-1.4009037,0,1,0
0,-0.4033869,-0.8152864,2.0370212,-1.8668044,-0.057932902,-1.89002,-0.40069535,1,0,0
0,-0.20306134,0.13109854,-0.394299,0.7981539,-1.5514551,1.0223836,0.599513,0,1,0
0,0.49808568,1.4830534,-0.2782587,0.029607834,0.14644383,0.0011829655,1.1996374,1,0,0
0,-0.45347208,0.33388352,-0.83083147,2.1356237,-0.6867844,2.4696794,1.399679,0,1,0
1,1.1992327,0.13109854,-1.0408092,0.5087014,0.94822943,0.091356985,-2.2010705,0,1,0
0,-0.45347208,0.33388352,-0.040652413,-0.33969358,-0.71822697,-0.38313556,1.399679,0,1,0
0,0.29776013,-0.27449208,1.0313388,-0.9984471,0.6180824,-0.80218947,-1.0008208,0,1,0
0,0.8486668,0.80707604,0.27431408,-0.20993873,-0.5138502,0.02231561,-0.50071657,0,1,0
0,-1.6053706,-1.6940489,-1.0629121,1.4768697,-1.0169314,1.3496821,0.6995333,0,1,0
0,0.34784535,1.212646,-0.2948359,0.728286,-1.3942423,1.0051768,1.0996172,0,1,0
0,-0.20306134,0.67187226,-0.60427666,-0.1700145,0.25649282,-0.5103007,1.399679,0,1,0
0,-1.4551151,-1.1532751,-0.7534713,1.4070019,1.1211636,1.5534571,1.1996374,0,1,0
0,0.34784535,0.4014854,-0.106961146,0.5885506,0.60236114,0.95441633,-0.10063361,0,1,0
1,-0.5536425,-1.2208564,-0.92476887,2.355208,-1.2213081,2.6625073,-0.70075804,0,0,1
1,-0.6537976,-0.13930896,-1.024232,1.327153,1.6399661,1.188806,1.0996172,0,1,0
0,-0.15297614,-0.6124808,-1.0629121,1.5267754,0.49231213,1.4154522,-0.6007378,0,1,0
0,0.34784535,-0.34209394,-0.17326988,-0.0103164045,-0.7653908,0.017051915,-1.2008623,0,1,0
0,1.4997287,1.8886235,0.600332,-0.7888438,-0.057932902,-0.6927387,-0.20065387,0,0,1
0,0.19758973,1.1450647,1.6170659,-1.5773518,1.1211636,-1.5292847,1.2996587,0,0,1
0,0.99890715,0.7394741,-0.73689413,0.87800276,0.8067379,0.84160614,-0.9007995,0,0,1
0,-0.85413843,-1.2884582,-1.1789523,1.8361902,-0.27803093,1.7034638,-0.20065387,0,1,0
0,-0.5536425,0.19867977,-0.46060774,0.4088902,0.1621651,0.4116146,1.399679,0,1,0
0,-1.0043788,-1.0180714,0.89872134,-1.3278239,1.4984745,-1.420986,0.49949178,0,1,0
0,1.2994031,0.94225913,1.0976475,-1.417654,0.319378,-1.4798715,-1.2008623,0,1,0
0,-1.4551151,-1.2208564,-1.0629121,1.077625,-0.92260367,0.8235206,1.0996172,0,1,0
0,1.9003797,1.8210422,0.68874365,-1.068315,1.1054423,-1.0975742,-1.100842,0,1,0
0,-0.7038828,-0.13930896,0.539549,-0.5393159,1.5613596,-0.32757032,1.1996374,0,1,0
0,0.7985816,0.7394741,2.0314956,-1.846842,-0.08937548,-1.8548542,-0.50071657,0,1,0
0,1.1491475,0.80707604,-0.18984707,-0.3297122,-0.46668637,-0.4649405,-1.100842,0,0,1
0,-0.90420836,-0.6800827,-0.71479124,0.75822926,-0.49812892,0.6954371,0.79955447,0,0,1
0,-1.6053706,-1.4236621,0.9374014,-1.1581451,0.1621651,-1.1190193,1.0996172,0,1,0
0,-1.4050299,-1.1532751,1.3076252,-1.1980695,-1.0169314,-1.0025764,1.0996172,0,0,1
0,0.097434595,0.13109854,0.33509707,-0.8487304,-1.3313571,-0.93695277,-0.0006123865,0,1,0
0,0.49808568,0.46908727,-0.81978005,0.4987204,0.24077155,0.2539419,-0.3006751,0,1,0
0,-0.6537976,-0.4772977,-0.758997,0.5286637,1.2940978,0.34335414,0.599513,1,0,0
0,-0.95429355,-1.4236621,-0.23957862,-0.0003354402,-1.6929468,-0.015095786,-0.20065387,0,0,1
0,0.7484964,0.19867977,-0.6871626,0.15936227,-1.2527508,-0.110406466,-1.2008623,0,1,0
0,0.54817086,0.7394741,0.9484529,-1.0882771,0.979672,-0.99651223,-0.0006123865,0,1,0
0,-1.6053706,-1.4912639,0.68874365,-0.7189759,0.539476,-0.52883565,0.999596,0,0,1
0,-0.90420836,-1.0856733,-0.34456745,0.9877953,-0.56101406,1.3386178,0.1994291,0,1,0
0,-1.3048747,-0.6800827,-0.106961146,-0.29976895,0.6180824,-0.36665145,1.5997214,0,0,1
0,-0.5536425,-0.74768454,-0.28931016,-0.050241023,-1.2213081,-0.1228572,-0.0006123865,0,0,1
0,-0.35331696,-0.6124808,0.06433642,-0.090165645,0.6180824,0.063427985,-0.20065387,0,1,0
0,-0.85413843,-1.2208564,0.68321794,-1.1581451,-0.63962054,-1.2465951,-0.10063361,0,1,0
0,0.49808568,0.67187226,-0.64295673,-0.14007123,1.4355893,-0.49479327,-0.0006123865,0,0,1
0,0.7484964,0.7394741,-0.58217376,0.9578516,0.33509928,1.0870701,-0.40069535,0,1,0
0,0.24767493,1.0774629,-0.3500932,-0.090165645,1.4355893,-0.22294345,1.0996172,0,0,1
0,0.29776013,-0.00410521,-0.6319053,0.9478707,1.0425571,1.0295615,-0.6007378,0,1,0
0,0.648326,0.53666854,-0.46613345,0.11943804,-0.81255466,-0.004744611,-0.50071657,0,0,1
0,-1.4050299,-1.0856733,1.7883635,-1.3976917,0.036394816,-1.1285504,1.1996374,0,0,1
0,-0.6037277,-0.8152864,-0.09038396,0.43883386,-0.828276,0.7447719,-0.0006123865,0,1,0
0,0.19758973,-0.00410521,1.2689451,-1.3877106,-1.0955378,-1.3499426,-0.40069535,0,1,0
0,0.7985816,0.7394741,-0.72584265,0.43883386,-0.02649033,0.24614924,-0.50071657,0,1,0
0,-0.6537976,-0.27449208,-0.637431,1.0377009,-1.1898656,1.1498811,0.89957476,0,0,1
0,0.7484964,0.46908727,-0.576648,-0.15005219,1.8286215,-0.4635731,-0.8007793,0,1,0
0,-1.0043788,-1.2884582,0.06986214,-0.33969358,1.2940978,-0.31165266,0.09940883,0,0,1
0,1.0990776,1.0774629,0.29089126,-0.22990105,-0.45096508,0.0023258612,-0.6007378,0,0,1
0,0.29776013,0.26628166,-0.25063008,0.728286,0.1621651,1.0421293,-0.20065387,0,1,0
0,-1.2547895,-0.4096958,-0.5876995,0.82809716,0.49231213,0.9003059,1.8997831,0,0,1
0,-1.35496,-0.8828677,-0.26720726,0.019626869,0.067837395,-0.0055059344,1.399679,0,1,0
0,0.047349393,1.009861,3.749997,-2.2959924,0.24077155,-2.1765766,1.399679,0,1,0
0,0.99890715,0.6042704,0.7716296,-1.0982583,1.797179,-1.1038438,-1.100842,1,0,0
0,-0.4033869,-1.0856733,-0.8087286,0.8380785,-1.1427017,0.7252411,-0.8007793,0,1,0
1,1.0489924,0.46908727,-0.9689747,0.77819157,1.6556873,0.50825304,-1.4009037,0,0,1
0,-0.0027358106,-0.54487896,0.5284976,-0.75890017,-1.6300616,-0.6855904,-0.8007793,0,0,1
0,0.6984112,0.53666854,-0.59875095,0.4288525,-1.3627998,0.33189923,-0.6007378,0,1,0
0,0.39791524,0.19867977,-0.013023773,-0.66907036,-0.8754398,-0.8605773,-0.50071657,0,1,0
0,-0.15297614,-0.54487896,0.18037671,-0.7189759,0.539476,-0.82351744,-0.50071657,1,0,0
0,-1.6053706,-1.4236621,1.6778489,-1.4775406,0.13072254,-1.3233122,1.0996172,0,0,1
0,-1.0043788,-1.5588452,0.042233504,-0.31973127,1.2312126,-0.29930893,-0.3006751,1,0,0
0,0.49808568,0.6042704,0.7716296,-1.0184094,-0.6867844,-0.9726744,-0.10063361,0,1,0
0,-2.1562622,-2.6404133,-1.0850149,1.4369456,0.1778864,1.2758164,0.39947057,0,1,0
0,-0.35331696,0.46908727,-0.9137174,0.8879841,1.797179,0.7025266,1.399679,0,0,1
0,0.39791524,-0.2068902,-0.91924316,0.538645,1.1211636,0.22847351,-1.100842,0,1,0
0,-0.7038828,-0.2068902,0.48429173,-0.65908897,-0.13653934,-0.55201864,1.0996172,0,1,0
0,0.19758973,1.009861,-0.26168153,0.4587958,0.649525,0.63950074,1.0996172,0,1,0
0,0.19758973,0.33388352,4.8882966,-2.5455203,-1.5042913,-2.4263763,0.09940883,0,1,0
0,0.648326,0.33388352,-0.96344894,0.76821065,-0.59245664,0.49959117,-0.8007793,0,1,0
